ID,캐릭터 이름,"대사 : comma는 (`)로 대체하기, 회색바탕은 독백"
29,이지윤_기본,뒷면에도 무언가 적혀있는 것 같다.
30,키워드,종이 뒷면:알 수 없는 수식이 적혀있다.\n9674 = 2346225\n7859 = 2326422\n1235 = ???????
31,이지윤_기본,이게 방을 나갈 수 있는 단서겠지? 앞의 종이와는 무슨 연관이 있을까?
32,독백,방이 밝아져도 이 이상 얻을 수 있는 건 없는 것 같다.
,,그럼 이 종이가 방을 나갈 수 있는 유일한 단서인 것 같은데...
,,이 퀴즈를 풀고 키패드에 입력하면 되는 걸까?
,,열렸다!
,,이제 이 어둡고 갑갑한 곳에 있을 이유는 없다.
33,키워드,도화선:작은 메모지에 이 단어만 적혀있다.\n내 죄와 관련이 있는 단어라고 했다.
,,의문점4:다른 사람들도 쪽지를 받았을까?\n받았다면 무슨 내용일까?
34,이지윤_기본,이게 무슨 의미일까? 일단 생각나는 건 없어.
35,독백,밖으로 나가보자.
,,방문 밖은 일반 가정집의 마루 같은 곳이었다.
,,방보다는 넓고 밝아 훨씬 있기 나아보인다.
36,???_도재하_실루엣,여기 한 명 더 나왔네요. 이름이 뭐예요?
37,???_민재현_실루엣,지금 그것보다 어디로 나가야 할 지 찾는 게 더 중요하지 않을까요?
38,독백,나오자마자 내가 마주한 것은 나와 일면식도 없는 두 사람이 으르렁거리는 모습이었다.
,,대충 말을 들어 봐도 저 둘도 서로 모르는 사이인 듯 싶었다. 
,,그런데도 서로 감정이 좋지 않은지 신경전을 끝낼 기미를 보이지 않았다.
,,아무래도 내가 중재해야 할 것 같다...
,,둘 중 한 명의 편을 들어줘야 할 것 같은데 어떻게 할까?
39,시스템,:선택지에 따라 상대방의 반응이 바뀌며' 상황에 따라 정보를 입수할 수도 있습니다.
40,선택지,제 이름은 이지윤이라고 합니다.:자기소개는 조금 있다가 하죠.
41,이지윤_기본,서로 통성명 좀 한다고 해서 있던 탈출구가 사라지진 않겠죠.
,,전 이지윤입니다. 2n살이고' 대학생이에요.
42,도재하_미소,우리 동갑이네요! 제 이름은 도재하에요.
43,키워드,익숙함과 낯설음:얼굴은 낯선데 이름은 많이 들어본 것 같다.\n어디서 들어본 걸까?
44,민재현_기본,...민재현입니다. 고등학교 2학년이고요.
45,키워드,까칠함:존댓말을 쓰지만 말투가 까칠하다.
,,고등학생:고등학생이라고 한다.
46,이지윤_기본,그럼 이제 통성명도 했겠다' 나갈 만한 곳을 찾아보죠.
47,민재현_기본,...저 쪽은 제가 먼저 확인했는데 별 거 없어요. 화장실 하나랑 잠긴 문이
,,하나 있긴 한데 반대편에서 열리는 문이더라고요.
48,독백,나는 민재현이 조사했다는 문의 반대편 벽을 살펴봤지만 일반 벽과 다른 점이 없어보였다.
49,시스템,:잠시 후
50,이지윤_기본,출구가... 없어?
51,독백,벽은 그냥 매끈하게 벽지만 발려있을 뿐이었다.
,,혹시나 해서 벽을 두들겨도 봤지만 벽에서 울리는 소리는 일정했다.
52,키워드,의문점5:출구 없는 밀실에 갇혔다. 이게 가능한 일인가?\n그럼 여기 어떻게 들어온 거지?
53,이지윤_기본,자기소개보다는 나갈 곳을 찾는 게 좀 더 급한 것 같네요.
54,???_민재현_실루엣,드디어 말이 좀 통하는 사람을 만났네요.
55,???_도재하_실루엣,...그래요. 나갈 곳 먼저 찾아보죠.
56,???_민재현_실루엣,...저 쪽은 제가 먼저 확인했는데 별 거 없어요.\n화장실 하나랑 잠긴 문이 하나 있긴 한데 반대편에서 열리는 문이더라고요.
57,독백,조사했다는 문의 반대편 벽을 살펴봤지만 일반 벽과 다른 점이 없어보였다.
58,시스템,:잠시 후
59,이지윤_기본,출구가... 없어?
60,독백,벽은 그냥 매끈하게 벽지만 발려있을 뿐이었다.
,,혹시나 해서 벽을 두들겨도 봤지만 벽에서 울리는 소리는 일정했다.
61,키워드,의문점5:출구 없는 밀실에 갇혔다. 이게 가능한 일인가?\n그럼 여기 어떻게 들어온 거지?
62,이지윤_기본,더 이상 찾아보는 건 시간낭비인 것 같은데 아까 못한 통성명이나 해요. \n
63,도재하_기본,도재하입니다.
64,키워드,익숙함과 낯설음:얼굴은 낯선데 이름은 많이 들어본 것 같다.\n어디서 들어본 걸까?
65,민재현_기본,...민재현입니다. 고등학교 2학년이고요.
66,키워드,까칠함:존댓말을 쓰지만 말투가 까칠하다.
,,고등학생:고등학생이라고 한다.
67,독백,이제 통성명도 했겠다. 더 이상 할 말이 없어지자 어색한 침묵만이 남았다.
,,무슨 말을 해야 하나 고민하던 그 때'
68,???_지선경_실루엣,...어머' 당신들은 누구죠?
69,???_강광철_실루엣,쯧' 누가 이런 장난질을 치는 건지. 혹시 당신들인가?
70,독백,잠겨있다고 생각한 다른 두 문이 열리며 두 사람이 거의 동시에 나왔다.
71,지선경_기본,지선경이라고 해요. 강연하러 다니죠. 근데 다들 뭐 하시는 분들인지..?
72,독백,키가 크고 깡마른 사람이다. 눈 밑의 다크서클이 그의 예민해보이는 인상을 한층 부각시킨다.
,,완고해 보이는 인상의 중년 남자다. 어디선가 본 듯도 하지만 기억이 나지 않는다.
,,...그러나 역시 안면이 있는 사람은 없다.
,,지선경의 자기소개가 끝나고 중년의 남자가 막 입을 떼려고 할 때였다.
73,민재현_기본,혹시 강광철 씨 아닌가요? 그 KC 그룹의 사장이요!
74,강광철_기본,맞네만. 내가 바로 그 KC 그룹의 사장' 강광철이라네.
75,독백,아 기억났다. 우리나라에서 손꼽히는 기업가인 강광철이었다.
76,키워드,기업가:KC 기업의 태표이다. 누구나 한 번쯤 들어본 적 있을 정도로 유명한 사람이다.
77,독백,"강광철이 뭔가 말하려는 듯 입을 열었을 때, 또 문이 열리는 소리가 났다."
78,???_손미진_실루엣,아유' 여긴 또 어디야... 어머' 여긴 웬 사람들이 이렇게 많대?
79,독백,앞에 나온 사람들과는 완전히 정반대의 인상이다. 
,,포근해 보이는 인상이 여기에 잡혀 올 사람으로는 보이지 않는다.
80,손미진_기본,저는 손미진이에요.
81,독백,넉살 좋은 아주머니의 말에 우리는 다시 통성명을 했다.
82,키워드,넉살:우리가 처한 상황에도 불구하고 밝은 모습이다.\n아직 이 사태를 실감하고 있지 못한 걸까?
83,독백,서로 자기소개를 하다가 도재하의 차례가 왔을 때 손미진이 놀라더니 도재하에게 말을 걸었다.
84,손미진_놀람,어머 도재하...?! 혹시 스라9에 나온 도재하에요?
85,도재하_미소,아... 하하... 네 맞습니다.
86,손미진_기본,"어머어머, 이게 웬일이야. 이번에 데뷔하지 않아요?"
,,내가 또 그거 다 챙겨봤거든~
87,이지윤_기본,스라9?
88,독백,내가 작게 읊조리는 걸 들었는지 민재현이 대답했다.
89,민재현_기본,스라9 몰라요? 내 주변 여자애들은 다 봤던데. 그 아이돌 데뷔 프로그램 스포트라이트9 말이에요.
90,독백,아' 스포트라이트9이라고 하니까 기억났다.
,,인기 아이돌 데뷔 프로그램인데 어째 할 때마다 바쁜 일이랑 겹쳐서 직접 본 적은 없고 소식만 대충 듣던 TV 프로그램이었다.
,,도재하의 이름이 익숙했던 건 이 때문이었나보다.
91,키워드,익숙함과 낯설음 → 데뷔 예정인 아이돌:이름이 익숙했던 건 유명 프로그램에 나와서였다. 데뷔 예정이라고 한다.
,,스포트라이트9:유명 아이돌 데뷔 프로그램이다. 도재하가 이 프로그램 출신이다.
92,독백,계속해서 말을 거는 손미진의 관심이 불편한 듯 도재하는 다른 주제를 꺼냈다.
93,도재하_기본,여기 모인 사람들은 이게 다일까요?
,,아까 보니까 방이 하나 더 있는 것 같던데...
94,이지윤_기본,가장 안쪽에 있던 방 말이죠?\n거기는 아까 재현 학생이 봤다 그랬는데 반대편에서 열리는 문 같다고 했어요.
95,손미진_기본,그래도 혹시 모르니까 다시 그 쪽으로 가봐요.
,,혹시 알아? 갑자기 문이 열릴지?
96,독백,우리는 인상 좋은 아주머니의 말을 따라 가장 동떨어진 방으로 이동했다.
,,그러자 아까 별 특이점이 없었다는 민재현의 말과 다르게 그 곳에선 누군가 고래고래 소리를 지르고 있는지 소리가 드문드문 밖으로 새어나왔다.
97,???_리차드_실루엣,X발! 날 여기서 내보내줘! 내가 누군지는 알고 이러는 거야?
,,내가 여기서 나가면 다들 가만 안 둬! 다 죽여버릴 거야!
98,독백,방이 방음이 잘 된다고 생각했는데 완벽하게 되지는 않는 것 같다.
99,키워드,방:방음이 완벽하게 되지 않는다.\n고래고래 소리를 지르면 문 바로 반대편에 있는 사람에게는 뭐라고 말하고 있는지 대충 들린다.
100,민재현_기본,아까는 이런 소리 안 났는데...
101,손미진_기본,아유' 뻗어 있다가 지금 일어났을 수도 있지.
102,도재하_기본,어쨌든 여기도 누가 갇혀 있나 보네요.\n아직 종이를 못 찾은 걸까요?
103,지선경_기본,음' 저런 류의 사람을 많이 봤는데 직접 종이를 찾아서 문제를 풀고 나올 타입은 아니에요.\n안 그래요?
104,독백,지선경이 말하자' 모두 동의하듯이 고개를 끄덕였다.
105,이지윤_기본,그럼 비밀번호나 외쳐 주죠.\n안 그러면 저기서 목이 쉴 때까지 소리지를 것 같아요.
106,지선경_기본,네' 좋은 생각이에요.
107,독백,우리는 열심히 방 너머의 사람에게 비밀번호를 알려주며 키패드에 입력하라고 소리를 질렀다.
,,그러자 몇 번 키패드에서 잘못 누른 소리가 나더니 이내 곧 문이 열렸다.
108,???_리차드_분노,뭐야' 장난질을 한 게 당신들이야? 장난도 적당히 해야지 X발!
,,사람을 존X 하루종일 가둬두고 말이야!
109,독백,나온 사람은 명품으로 온 몸을 둘둘 감은 남자였다.
,,이제 더 이상의 사람은 없는 듯 했다.
110,키워드,의문점3→해결: 총 7명의 사람들이 모였다. 서로 일방적으로 아는 사람은 있어도 알고 지낸 사람은 없는 것 같다.
111,???_리차드_분노,감히 나를 가둬 놓고도 무사할 줄 알아? 나와! 어떤 새끼 수작이야!
112,손미진_기본,아유 우리도 같은 처지여.\n청년' 진정 좀 해.
113,독백,인상 좋아보이는 아주머니의 말에 남자는 그제서야 진정을 좀 한 것 같았다.
114,???_리차드_기본,그래? 그럼 여기 담당자가 누구야? 당장 나오라고 해.
115,독백,아닌가. 헛소리를 계속 하는 걸 보니 아직 정신을 덜 차린 것 같았다.
116,지선경_기본,그건 저도 알고 싶네요. 누가 사람을 이렇게 다같이 가둬놨는지. 
,,별 웃기지도 않는 말을 하면서 말이에요. 다들 들었죠?
,,그 TV에서 나오던 말이요.
,,누가 죽네 마네 하면서 알 수 없는 쪽지나 주고...
,,다른 사람들도 이런 거 받았죠?
117,독백,"지선경이 펼쳐보인 쪽지에는 ""현혹""이라고 쓰여있었다. 나는..."
118,키워드,현혹:지선경이 받은 쪽지의 내용이다.
119,선택지,내가 받은 쪽지를 보여준다.:내가 받은 쪽지를 보여주지 않는다.
120,이지윤_기본,네' 저도 하나 받았어요.
121,독백,나는 도화선이라고 씐 내 쪽지를 모두에게 보여주었다. 
122,도재하_기본,다 단어 하나씩만 줬나 보네요.
123,독백,"도재하가 보여 준 쪽지에는 ""나비효과""라고 쓰여 있었다."
124,키워드,나비효과:도재하가 받은 쪽지의 내용이다.
125,독백,"이어 민재현의 쪽지에는 ""기폭""' 손미진의 것에는 ""탐욕""' 강광철은 ""시발점""'"
,,그리고 저 남자는...
126,키워드,기폭:민재현이 받은 쪽지의 내용이다.
,,탐욕:손미진이 받은 쪽지의 내용이다.
,,시발점:강광철이 받은 쪽지의 내용이다.
,,의문점4→ 해결: 다른 사람들도 모두 쪽지를 받았다. 그 남자를 제외한 모두의 쪽지 내용을 알아냈다.
127,독백,다른 사람들이 어떻게 나오는지 보려고 섣불리 먼저 내 쪽지를 꺼내지 않았다.
,,그렇게 잠깐 눈치를 보고 있자...
128,도재하_기본,다 단어 하나씩만 줬나보네요.
129,독백,"도재하가 ""나비효과""라고 쓰인 자신의 쪽지를 모두에게 보여주었다."
130,키워드,적극성:남들이 나서지 않고 있을 때 적극적으로 행동하는 것 같다.
,,나비효과:도재하가 받은 쪽지의 내용이다.
131,독백,"나는 결국 ""도화선""이라고 적힌 내 쪽지를 들어 다른 사람들에게 보여주었다."
,,"이어 민재현의 쪽지에는 ""기폭""' 손미진의 것에는 ""탐욕""' 강광철은 ""시발점""'"
,,그리고 저 남자는...
132,키워드,기폭:민재현이 받은 쪽지의 내용이다.
,,탐욕:손미진이 받은 쪽지의 내용이다.
,,시발점:강광철이 받은 쪽지의 내용이다.
,,의문점4→ 해결:다른 사람들도 모두 쪽지를 받았다. 그 남자를 제외한 모두의 쪽지 내용을 알아냈다.
133,???_리차드_실루엣,뭐야' 내가 댁들이 누군 줄 알고 내 걸 보여줘야 되는데?
134,독백,우린 그제서야 깨달았다.
,,저 남자랑은 통성명을 안 했다는 사실을 말이다...
,,그렇게 세 번째 통성명 시간을 가졌다.
135,리차드_기본,"리차~드 윤이요. 하던 일은 X같아서 진작에 때려치웠고, 그냥 건물이나 몇 채 굴려서 살고 있수다."
136,키워드,싼티와 부티:저렴한 말투에 비해 차려입은 옷은 전부 브랜드 의류다.
,,건물주:묻지도 않았는데 자신이 여러 건물을 가지고 있다고 밝혔다. (부럽다)
,,다혈질:화가 많은 것 같다. 고혈압이 걱정된다.
137,독백,우리가 다시 한 번 자기소개를 하자 리차드가 또 불같이 화를 냈다.
138,리차드_분노,허' 뭐야 시X.\n지들끼리 나 빼고 입 한 번씩 맞춰봤다 이거네.\n이거 댁들이 꾸민 짓 아냐? 
,,"됐고, 쿵짝 맞는 댁들끼리 어디 한 번 잘해보쇼.\n난 작당질하는 시X것들이랑은 말 안 섞을라니까."
139,키워드,의문점6:리차드가 받은 쪽지에는 무엇이 쓰여 있을까? 대화를 통해 알아낼 수는 없을까?
140,독백,그렇게 리차드는 화를 내더니 자신의 방으로 들어가버렸다...
,,문을 완전히 닫지는 않고 아주 약간만 열어놓았다.\n그러나 안으로는 들어가지 않는 게 좋을 것 같다.\n문 밖에서 대화를 시도해 보는 건 가능할지도?
,,리차드가 분위기를 흐트려 놓자' 다른 사람들도 어영부영 흩어졌다.
141,이지윤_기본,나도 내가 지금 할 수 있는 걸 하자.
142,이지윤_기본,이제 얻을만한 정보는 다 얻은 것 같다.
,,방에 있던 사람들도 슬슬 다시 여기로 모이기 시작했다.
143,지선경_기본,으흠' 뭐 좀 먹을 게 없나요?\n범인이 원하는 게 여기서 굶어 죽으라는 건 아닐 것 같은 데 말이죠' 안 그래요?
144,이지윤_기본,아까 냉장고에 보니까 물이랑 선식 같은 게 있던데요.
,,아쉬운 대로 그거라도 먹어야 할 것 같네요.
145,리차드_분노,선식? 그걸 누구 코에 붙이란 말이야.
146,독백,리차드는 그렇게 화를 내면서도 가장 먼저 냉장고로 달려갔다.
,,그렇게 물과 선식으로 다같이 단촐한 저녁 식사를 했다.
147,이지윤_기본,이제 슬슬 방으로 들어가야 할 것 같아요. 열시가 다 되어가네요.
148,독백,사람들이 내가 손 끝으로 가리킨 시계를 쳐다봤다.
,,시계는 9시 50분을 가리키고 있었다.
,,"규칙 중에 그런 게 있었다. 저녁 10시 전에는 방에 돌아갈 것, 잠은 자신의 방에서 잘 것."
,,그리고 그 규칙이 아니더라도 엄청난 졸음이 쏟아지고 있었다.
149,이지윤_기본,그럼 전 먼저 방으로 돌아가 볼게요. 너무 졸려서…
150,독백,내 말에 다들 방으로 향하기 시작했다.
,,그러다 몽롱해지는 의식 속에서 다른 사람들이 이야기 하는 것이 어렴풋이 들렸다.
151,강광철_기본,거기 선식 좀 더 남은 거 없나? 방에 하나 가져가고 싶네만. 선식 하나만으로는 영 배가 안 차는구만.
152,???,여기요. 많으니까 더 가져가셔도 될 것 같은데 더 드려요?
153,강광철_기본,됐네. 하나면 됐어. 이건 또 다른 맛이구만.
154,독백,더는 졸려서 안 될 것 같다.  나는 쓰러지듯 침대에 누워 눈을 감았다.
,,문이 잠기는 소리가 저 멀리서 들리는 듯 했다.
,,‘그 일’ 이후로 이렇게 편안히 자는 게 얼마…만….이더라…
155,키워드,그 일:과거에 어떤 일을 겪고 편히 자지 못했다.
